GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "00000","United States", ,SAGDP1,1,"...","Real GDP (millions of chained 2012 dollars)  ","Millions of chained 2012 dollars",11529157.0,12045824.0,12623361.0,13138035.0,13263417.0,13488357.0,13865519.0,14399696.0,14901269.0,15315943.0,15623871.0,15642962.0,15236262.0,15648991.0,15891534.0,16253970.0,16553348.0,16932051.0,17390295.0,17680274.0,18076651.0,18609078.0,19036052.0,18509143.0,19609812.0,20014128.0
 "00000","United States", ,SAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",70.931,74.110,77.663,80.830,81.601,82.985,85.305,88.592,91.678,94.229,96.123,96.241,93.739,96.278,97.770,100.000,101.842,104.172,106.991,108.775,111.214,114.489,117.116,113.875,120.646,123.134
 "00000","United States", ,SAGDP1,3,"...","Current-dollar GDP (millions of current dollars) ","Millions of current dollars",8577552.0,9062817.0,9631172.0,10250952.0,10581929.0,10929108.0,11456450.0,12217196.0,13039197.0,13815583.0,14474228.0,14769862.0,14478067.0,15048970.0,15599731.0,16253970.0,16843196.0,17550687.0,18206023.0,18695106.0,19477337.0,20533058.0,21380976.0,21060474.0,23315081.0,25462722.0
 "00000","United States", ,SAGDP1,4,"...","Compensation (millions of dollars) ","Millions of current dollars",4713220.0,5075701.0,5409937.0,5854634.0,6046346.0,6143370.0,6362298.0,6729306.0,7077722.0,7491260.0,7889371.0,8068682.0,7767191.0,7932970.0,8234017.0,8575362.0,8843637.0,9259654.0,9709535.0,9977096.0,10434978.0,10968191.0,11459981.0,11600551.0,12549140.0,(NA)
 "00000","United States", ,SAGDP1,5,"...","Gross operating surplus (millions of dollars) ","Millions of current dollars",3286531.0,3384012.0,3592863.0,3733598.0,3866604.0,4067108.0,4337585.0,4666176.0,5079950.0,5378754.0,5602610.0,5703992.0,5742402.0,6108729.0,6321995.0,6600532.0,6870613.0,7108287.0,7278526.0,7468126.0,7734785.0,8166765.0,8463924.0,8590898.0,9584487.0,(NA)
 "00000","United States", ,SAGDP1,6,"...","Taxes on production and imports (TOPI) less subsides (millions of dollars) ","Millions of current dollars",577806.0,603105.0,628376.0,662716.0,668981.0,718636.0,756561.0,821712.0,881527.0,945574.0,982247.0,997184.0,968472.0,1007267.0,1043717.0,1078079.0,1128942.0,1182741.0,1217959.0,1249888.0,1307573.0,1398102.0,1457071.0,869025.0,1181454.0,(NA)
 "00000","United States", ,SAGDP1,7,"..."," Taxes on production and imports (TOPI) (millions of dollars) ","Millions of current dollars",611614.0,639472.0,673585.0,708556.0,727691.0,760032.0,805618.0,868099.0,942438.0,997041.0,1036831.0,1049741.0,1026820.0,1063075.0,1103725.0,1136117.0,1188662.0,1240830.0,1275152.0,1311635.0,1367448.0,1461422.0,1530028.0,1526301.0,1663398.0,(NA)
 "00000","United States", ,SAGDP1,8,"..."," Subsidies (millions of dollars) ","Millions of current dollars",-33810.0,-36368.0,-45209.0,-45840.0,-58710.0,-41396.0,-49057.0,-46386.0,-60911.0,-51467.0,-54584.0,-52557.0,-58347.0,-55808.0,-60008.0,-58037.0,-59720.0,-58090.0,-57193.0,-61747.0,-59874.0,-63319.0,-72957.0,-657275.0,-481944.0,(NA)
 "01000","Alabama",5,SAGDP1,1,"...","Real GDP (millions of chained 2012 dollars)  ","Millions of chained 2012 dollars",144501.2,149568.2,154900.2,157221.3,156853.2,160422.4,165134.7,176625.0,184369.5,187270.8,189002.5,186946.7,180707.2,184702.4,187605.8,189245.5,191369.8,189886.3,191335.2,194283.8,196974.9,200372.6,203432.7,199880.8,209979.3,213264.8
 "01000","Alabama",5,SAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",76.356,79.034,81.851,83.078,82.883,84.769,87.260,93.331,97.423,98.957,99.872,98.785,95.488,97.599,99.134,100.000,101.123,100.339,101.104,102.662,104.084,105.880,107.497,105.620,110.956,112.692
 "01000","Alabama",5,SAGDP1,3,"...","Current-dollar GDP (millions of current dollars) ","Millions of current dollars",104811.9,110212.0,115680.1,119851.7,122915.5,127505.0,134152.6,147715.2,158846.8,166469.0,172975.2,174526.3,170930.9,177249.2,183916.6,189245.5,194786.9,197406.9,202372.4,207368.4,214606.3,223859.3,231561.9,230892.1,254109.7,277817.5
 "01000","Alabama",5,SAGDP1,4,"...","Compensation (millions of dollars) ","Millions of current dollars",61083.8,64168.6,67225.1,69764.4,72038.4,74152.3,77085.0,81588.9,86356.8,91148.0,95286.4,97634.2,95327.1,96804.0,98890.3,100372.5,102206.9,106036.8,110031.4,112854.1,116576.3,121561.4,126974.3,129887.2,139062.4,(NA)
 "01000","Alabama",5,SAGDP1,5,"...","Gross operating surplus (millions of dollars) ","Millions of current dollars",37247.9,39368.1,41513.7,42583.4,43348.6,45807.1,49100.6,57547.0,63137.0,65253.3,67296.6,66180.2,65444.5,69842.6,73907.4,77608.1,80918.0,79562.0,80669.9,82073.9,84992.8,88708.7,90604.8,92897.2,104245.6,(NA)
 "01000","Alabama",5,SAGDP1,6,"...","Taxes on production and imports (TOPI) less subsides (millions of dollars) ","Millions of current dollars",6480.3,6675.4,6941.3,7503.9,7528.5,7545.6,7967.0,8579.2,9353.0,10067.8,10392.2,10711.9,10159.3,10602.6,11118.9,11264.9,11662.0,11808.1,11671.1,12440.4,13037.2,13589.2,13982.8,8107.7,10801.8,(NA)
 "01000","Alabama",5,SAGDP1,7,"..."," Taxes on production and imports (TOPI) (millions of dollars) ","Millions of current dollars",6754.8,6968.3,7329.6,7868.6,8004.3,8050.2,8434.7,8995.7,9913.5,10571.3,10850.9,11143.1,10684.7,11066.7,11637.3,11769.2,12141.8,12298.5,12138.5,12988.7,13612.6,14080.8,14601.7,14986.6,16054.3,(NA)
 "01000","Alabama",5,SAGDP1,8,"..."," Subsidies (millions of dollars) ","Millions of current dollars",-274.5,-292.9,-388.4,-364.7,-475.8,-504.7,-467.7,-416.4,-560.5,-503.5,-458.7,-431.2,-525.4,-464.1,-518.4,-504.3,-479.8,-490.4,-467.4,-548.3,-575.3,-491.6,-618.8,-6878.9,-5252.5,(NA)
 "02000","Alaska",8,SAGDP1,1,"...","Real GDP (millions of chained 2012 dollars)  ","Millions of chained 2012 dollars",42211.3,41095.9,40590.5,39406.6,40958.7,42979.0,42355.3,44055.0,45657.1,49190.2,51721.0,51252.1,56215.1,54601.5,55280.3,58283.6,55354.3,54188.2,54740.8,54246.6,54278.7,53327.0,53433.8,50705.2,50869.4,49633.7
 "02000","Alaska",8,SAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",72.424,70.510,69.643,67.612,70.275,73.741,72.671,75.587,78.336,84.398,88.740,87.936,96.451,93.682,94.847,100.000,94.974,92.973,93.921,93.074,93.128,91.496,91.679,86.997,87.279,85.159
 "02000","Alaska",8,SAGDP1,3,"...","Current-dollar GDP (millions of current dollars) ","Millions of current dollars",25810.8,24227.5,24744.3,26806.6,28494.1,29756.8,32037.9,35302.4,40356.6,45094.1,49583.7,55122.5,49957.8,53331.6,56896.3,58283.6,57247.7,56484.9,51490.9,50727.7,53301.5,54899.6,54728.2,50475.2,57349.4,63618.0
 "02000","Alaska",8,SAGDP1,4,"...","Compensation (millions of dollars) ","Millions of current dollars",12347.8,12889.6,13127.5,13893.0,14883.3,15703.7,16522.0,17454.3,18584.7,19600.3,20790.2,21813.1,22533.6,23170.8,24458.4,25739.1,26362.2,27139.9,27826.3,27170.6,27081.5,28254.5,28975.4,28341.4,29711.5,(NA)
 "02000","Alaska",8,SAGDP1,5,"...","Gross operating surplus (millions of dollars) ","Millions of current dollars",11061.3,9388.7,9690.1,10455.7,11337.1,11963.7,13311.2,15436.6,19019.1,22400.6,24002.8,23323.4,22866.5,24439.3,25196.2,24819.1,22642.5,23858.1,20819.4,20355.5,22558.6,22385.1,21601.4,19727.2,24456.2,(NA)
 "02000","Alaska",8,SAGDP1,6,"...","Taxes on production and imports (TOPI) less subsides (millions of dollars) ","Millions of current dollars",2401.7,1949.2,1926.7,2457.9,2273.7,2089.5,2204.7,2411.5,2752.8,3093.2,4790.8,9986.0,4557.7,5721.5,7241.8,7725.5,8243.0,5486.9,2845.2,3201.6,3661.4,4260.0,4151.4,2406.6,3181.7,(NA)
 "02000","Alaska",8,SAGDP1,7,"..."," Taxes on production and imports (TOPI) (millions of dollars) ","Millions of current dollars",2464.7,2003.9,1983.1,2515.4,2385.9,2162.3,2308.0,2503.4,2857.1,3194.8,4888.5,10077.9,4673.8,5840.5,7378.0,7856.2,8367.5,5621.8,2974.4,3332.0,3769.1,4372.1,4262.5,3852.4,4389.9,(NA)
 "02000","Alaska",8,SAGDP1,8,"..."," Subsidies (millions of dollars) ","Millions of current dollars",-62.9,-54.7,-56.4,-57.5,-112.3,-72.9,-103.3,-91.9,-104.3,-101.6,-97.7,-92.0,-116.2,-119.1,-136.3,-130.7,-124.6,-134.9,-129.2,-130.4,-107.7,-112.0,-111.1,-1445.8,-1208.2,(NA)
 "04000","Arizona",6,SAGDP1,1,"...","Real GDP (millions of chained 2012 dollars)  ","Millions of chained 2012 dollars",168408.8,183060.5,198699.9,208439.5,213166.2,220696.7,234065.9,244317.3,262326.0,274179.4,283250.7,280810.1,257498.5,260307.1,266101.5,271440.0,273481.9,276948.9,282577.0,291275.2,303606.1,314827.5,325395.3,327178.0,347656.0,356417.0
 "04000","Arizona",6,SAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",62.043,67.441,73.202,76.790,78.532,81.306,86.231,90.008,96.642,101.009,104.351,103.452,94.864,95.899,98.033,100.000,100.752,102.030,104.103,107.307,111.850,115.984,119.877,120.534,128.078,131.306
 "04000","Arizona",6,SAGDP1,3,"...","Current-dollar GDP (millions of current dollars) ","Millions of current dollars",132281.0,143302.6,155755.8,165110.7,171909.6,180522.3,193634.9,206541.1,227915.9,245957.0,261392.0,262926.0,246424.3,251153.0,260915.7,271440.0,278591.6,287666.6,299393.3,313081.4,332001.8,351879.5,372393.5,382072.3,420026.7,458949.8
 "04000","Arizona",6,SAGDP1,4,"...","Compensation (millions of dollars) ","Millions of current dollars",69876.9,77166.0,82849.8,91205.4,95475.5,98041.6,102681.4,111133.6,121777.9,134607.4,142619.1,143884.3,135101.1,134483.2,139617.8,145243.2,150331.8,156465.4,163929.0,170624.3,181005.7,193120.1,204410.4,214218.6,232679.3,(NA)
 "04000","Arizona",6,SAGDP1,5,"...","Gross operating surplus (millions of dollars) ","Millions of current dollars",53776.0,57020.8,62895.4,62781.3,64896.1,70104.3,77869.7,81311.9,90811.9,94686.5,100412.7,101324.1,94287.6,99207.1,102540.9,107076.8,108778.2,111436.8,115827.9,121628.9,129192.9,135510.9,143805.9,154516.0,169676.8,(NA)
 "04000","Arizona",6,SAGDP1,6,"...","Taxes on production and imports (TOPI) less subsides (millions of dollars) ","Millions of current dollars",8628.0,9115.8,10010.5,11124.0,11538.0,12376.4,13083.9,14095.5,15326.2,16663.0,18360.2,17717.7,17035.6,17462.8,18757.0,19120.0,19481.6,19764.4,19636.3,20828.2,21803.1,23248.4,24177.1,13337.7,17670.6,(NA)
 "04000","Arizona",6,SAGDP1,7,"..."," Taxes on production and imports (TOPI) (millions of dollars) ","Millions of current dollars",8958.8,9478.9,10425.2,11550.0,12090.9,12817.1,13685.4,14635.3,16025.6,17292.2,18971.3,18359.4,17841.1,18163.0,19513.9,19823.0,20213.8,20505.5,20334.5,21541.4,22551.6,24049.5,25015.0,24332.8,26904.3,(NA)
 "04000","Arizona",6,SAGDP1,8,"..."," Subsidies (millions of dollars) ","Millions of current dollars",-330.8,-363.1,-414.7,-426.1,-552.9,-440.8,-601.6,-539.8,-699.5,-629.2,-611.1,-641.7,-805.4,-700.2,-756.9,-703.0,-732.2,-741.1,-698.2,-713.3,-748.5,-801.0,-837.8,-10995.2,-9233.7,(NA)
 "05000","Arkansas",5,SAGDP1,1,"...","Real GDP (millions of chained 2012 dollars)  ","Millions of chained 2012 dollars",82571.3,84570.8,89115.2,89871.7,89789.0,92950.5,96944.5,101733.6,105980.0,108460.6,107606.1,106536.5,102996.6,105662.0,107932.5,108492.1,110752.4,111734.5,112351.0,112798.1,113850.2,115885.2,117126.2,117268.2,123347.3,126532.2
 "05000","Arkansas",5,SAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",76.108,77.951,82.140,82.837,82.761,85.675,89.356,93.771,97.685,99.971,99.183,98.197,94.935,97.391,99.484,100.000,102.083,102.989,103.557,103.969,104.939,106.814,107.958,108.089,113.692,116.628
 "05000","Arkansas",5,SAGDP1,3,"...","Current-dollar GDP (millions of current dollars) ","Millions of current dollars",59846.3,62396.7,66811.3,68678.5,70616.7,74113.9,78695.1,85199.6,90887.7,95875.1,98381.6,99706.8,97508.1,101486.5,105768.1,108492.1,113227.3,116139.4,117786.8,119152.4,122466.7,127535.7,131578.3,133969.1,148676.1,165220.6
 "05000","Arkansas",5,SAGDP1,4,"...","Compensation (millions of dollars) ","Millions of current dollars",32715.5,34880.9,36741.0,38766.8,40397.1,41662.0,43485.7,46064.2,48480.3,51110.2,53637.6,54778.2,54260.1,55258.1,56870.0,59196.2,60545.9,62563.9,64679.8,66179.6,68571.1,70958.9,73810.1,75812.9,81301.5,(NA)
 "05000","Arkansas",5,SAGDP1,5,"...","Gross operating surplus (millions of dollars) ","Millions of current dollars",23316.0,23736.9,25718.4,25974.1,26235.7,27860.2,30737.5,33626.0,36232.1,38116.8,38140.6,38190.2,36778.1,39155.5,41614.4,41542.9,44449.4,45138.1,44688.0,44409.5,44986.9,47364.4,48598.9,51732.9,59079.6,(NA)
 "05000","Arkansas",5,SAGDP1,6,"...","Taxes on production and imports (TOPI) less subsides (millions of dollars) ","Millions of current dollars",3814.9,3779.0,4351.9,3937.6,3984.0,4591.7,4471.9,5509.4,6175.3,6648.2,6603.4,6738.4,6469.9,7072.9,7283.6,7753.0,8232.0,8437.5,8419.0,8563.2,8908.7,9212.3,9169.3,6423.3,8295.0,(NA)
 "05000","Arkansas",5,SAGDP1,7,"..."," Taxes on production and imports (TOPI) (millions of dollars) ","Millions of current dollars",4168.5,4299.0,5185.9,4908.2,5120.7,5324.7,5572.7,6062.4,6873.6,7272.4,7207.9,7242.5,7118.4,7630.0,7877.0,8320.0,8804.1,8972.3,8971.9,9303.4,9704.1,10020.3,10356.3,10347.4,11717.3,(NA)
