State,Candidate_1,Candidate_1_Party,Candidate_1_Votes,Candidate_2,Candidate_2_Party,Candidate_2_Votes,Winning_Party,Total_Votes
Alabama,"BIDEN, JOSEPH R. JR",Democrat,849624,"TRUMP, DONALD J.",Republican,1441170,Republican,2323282
Alaska,"BIDEN, JOSEPH R. JR",Democrat,153778,"TRUMP, DONALD J.",Republican,189951,Republican,359530
Arizona,"BIDEN, JOSEPH R. JR",Democrat,1672143,"TRUMP, DONALD J.",Republican,1661686,Democrat,3387326
Arkansas,"BIDEN, JOSEPH R. JR",Democrat,423932,"TRUMP, DONALD J.",Republican,760647,Republican,1219069
California,"BIDEN, JOSEPH R. JR",Democrat,11110250,"TRUMP, DONALD J.",Republican,6006429,Democrat,17500881
Colorado,"BIDEN, JOSEPH R. JR",Democrat,1804352,"TRUMP, DONALD J.",Republican,1364607,Democrat,3279980
Connecticut,"BIDEN, JOSEPH R. JR",Democrat,1080831,"TRUMP, DONALD J.",Republican,714717,Democrat,1823857
Delaware,"BIDEN, JOSEPH R. JR",Democrat,296268,"TRUMP, DONALD J.",Republican,200603,Democrat,504346
Florida,"BIDEN, JOSEPH R. JR",Democrat,5297045,"TRUMP, DONALD J.",Republican,5668731,Republican,11067456
Georgia,"BIDEN, JOSEPH R. JR",Democrat,2473633,"TRUMP, DONALD J.",Republican,2461854,Democrat,4999960
Hawaii,"BIDEN, JOSEPH R. JR",Democrat,366130,"TRUMP, DONALD J.",Republican,196864,Democrat,579784
Idaho,"BIDEN, JOSEPH R. JR",Democrat,287021,"TRUMP, DONALD J.",Republican,554119,Republican,868014
Illinois,"BIDEN, JOSEPH R. JR",Democrat,3471915,"TRUMP, DONALD J.",Republican,2446891,Democrat,6033743
Indiana,"BIDEN, JOSEPH R. JR",Democrat,1242416,"TRUMP, DONALD J.",Republican,1729519,Republican,3033118
Iowa,"BIDEN, JOSEPH R. JR",Democrat,759061,"TRUMP, DONALD J.",Republican,897672,Republican,1700130
Kansas,"BIDEN, JOSEPH R. JR",Democrat,570323,"TRUMP, DONALD J.",Republican,771406,Republican,1372303
Kentucky,"BIDEN, JOSEPH R. JR",Democrat,772474,"TRUMP, DONALD J.",Republican,1326646,Republican,2136768
Louisiana,"BIDEN, JOSEPH R. JR",Democrat,856034,"TRUMP, DONALD J.",Republican,1255776,Republican,2148062
Maine,"BIDEN, JOSEPH R. JR",Democrat,435072,"TRUMP, DONALD J.",Republican,360737,Democrat,828305
Maryland,"BIDEN, JOSEPH R. JR",Democrat,1985023,"TRUMP, DONALD J.",Republican,976414,Democrat,3037030
Massachusetts,"BIDEN, JOSEPH R. JR",Democrat,2382202,"TRUMP, DONALD J.",Republican,1167202,Democrat,3658005
Michigan,"BIDEN, JOSEPH R. JR",Democrat,2804040,"TRUMP, DONALD J.",Republican,2649852,Democrat,5539302
