State,Total:,Population_of_one_race:,White_alone,Black_or_African_American_alone,American_Indian_and_Alaska_Native_alone,Asian_alone,Native_Hawaiian_and_Other_Pacific_Islander_alone,Some_Other_Race_alone,Population_of_two_or_more_races:,Population_of_two_races:,White;_Black_or_African_American,White;_American_Indian_and_Alaska_Native,White;_Asian,White;_Native_Hawaiian_and_Other_Pacific_Islander,White;_Some_Other_Race,Black_or_African_American;_American_Indian_and_Alaska_Native,Black_or_African_American;_Asian,Black_or_African_American;_Native_Hawaiian_and_Other_Pacific_Is,Black_or_African_American;_Some_Other_Race,American_Indian_and_Alaska_Native;_Asian,American_Indian_and_Alaska_Native;_Native_Hawaiian_and_Other_Pa,American_Indian_and_Alaska_Native;_Some_Other_Race,Asian;_Native_Hawaiian_and_Other_Pacific_Islander,Asian;_Some_Other_Race,Native_Hawaiian_and_Other_Pacific_Islander;_Some_Other_Race
Alabama,5024279,4767326,3220452,1296162,33625,76660,2984,137443,256953,243473,45429,79559,18510,1449,80617,6301,2049,492,5421,266,77,1941,567,562,233
Alaska,733391,643867,435392,21898,111575,44032,12698,18272,89524,81221,5987,38129,9815,1599,17735,2039,547,319,948,1215,607,622,1349,255,55
Arizona,7151502,6154696,4322337,339150,319512,257430,16397,899870,996806,948897,60610,84795,62979,7025,687131,7977,4322,864,11926,1492,570,10400,4226,3696,884
Arkansas,3011524,2797949,2114512,453783,27177,51839,14533,136105,213575,203299,28910,76042,11859,1281,75317,3149,865,214,2817,199,101,1347,502,522,174
California,39538223,33777988,16296122,2237044,631016,6085947,157263,8370596,5760235,5380042,257897,384596,624936,45390,3626370,37342,51784,8765,88929,13189,2563,113787,51357,61163,11974
Colorado,5773714,5066044,4082927,234828,74129,199827,10287,464046,707670,665645,48200,91231,63039,4943,426665,5076,3636,611,7619,851,218,8397,2431,2183,545
Connecticut,3605944,3273040,2395128,388675,16051,172455,1598,299133,332904,313228,36315,25191,24100,853,191978,4947,2021,469,20121,356,87,3197,639,1839,1115
Delaware,989948,913430,597763,218899,5148,42699,412,48509,76518,71461,14610,9586,5480,310,32669,2662,911,147,3811,107,12,613,132,310,101
District_of_Columbia,689545,633468,273194,285810,3193,33545,432,37294,56077,51147,7543,2212,8646,247,23425,2334,1340,112,3856,70,20,767,190,300,85
Florida,21538187,17986115,12422961,3246381,94795,643682,14014,1564282,3552072,3428042,200545,192576,122838,7435,2694902,19086,20991,4320,127918,1859,393,14987,4389,11730,4073
Georgia,10711908,9968000,5555483,3320513,50618,479028,7299,555059,743908,698142,115782,106685,55138,3094,333782,19655,11481,1812,36334,1007,147,7360,1680,3398,787
Hawaii,1455271,1087142,333261,23417,4370,541902,157445,26747,368129,231504,5615,11279,71907,34670,20218,800,2779,1736,929,1010,930,439,75347,2842,1003
Idaho,1839106,1685901,1510360,15726,25621,26836,3726,103632,153205,145443,7906,32995,15980,2696,81703,433,236,85,625,203,104,1365,591,384,137
